id:ID(Concept),name:String,language:String,sense:String,partOfSpeech:String
/c/en/river,river,en,,
/c/en/instrument,instrument,en,,
/c/en/bass/n/the_member_with_the_lowest_range_of_a_family_of_musical_instruments,bass,en,the_member_with_the_lowest_range_of_a_family_of_musical_instruments,n
/c/en/bass/n/the_lowest_part_in_polyphonic_music,bass,en,the_lowest_part_in_polyphonic_music,n
/c/en/bass_violin,bass_violin,en,,
/c/en/flesh,flesh,en,,
/c/en/flesh/n/mainly_muscle_tissue_and_fat,flesh,en,mainly_muscle_tissue_and_fat,n
/c/en/flesh/v/remove_adhering_flesh_from_when_preparing_leather_manufacture,flesh,en,remove_adhering_flesh_from_when_preparing_leather_manufacture,v
/c/en/fleshy/a/of_or_relating_to_or_resembling_flesh,fleshy,en,of_or_relating_to_or_resembling_flesh,a
/c/en/meat,meat,en,,
/c/en/penis,penis,en,,
/c/en/carnal/a/of_or_relating_to_the_body_or_flesh,carnal,en,of_or_relating_to_the_body_or_flesh,a
/c/en/flesh/n,flesh,en,,n
/c/en/exchange_flesh,exchange_flesh,en,,
/c/en/color,color,en,,
/c/en/animal_tissue/n/the_tissue_in_the_bodies_of_animals,animal_tissue,en,the_tissue_in_the_bodies_of_animals,n
/c/en/get_rid_of/v/dispose_of,get_rid_of,en,dispose_of,v
/c/en/colour,colour,en,,
/c/en/think,think,en,,
/c/en/idea,idea,en,,
/c/en/read,read,en,,
/c/en/theory,theory,en,,
/c/en/write_story,write_story,en,,
/c/en/imagine/v/form_a_mental_image_of_something_that_is_not_present_or_that_is_not_the_case,imagine,en,form_a_mental_image_of_something_that_is_not_present_or_that_is_not_the_case,v
/c/en/something_you_find_book,something_you_find_book,en,,
/c/en/philosophy,philosophy,en,,
/c/en/not_object,not_object,en,,
/c/en/idea/n/the_content_of_cognition,idea,en,the_content_of_cognition,n
/c/en/abstract,abstract,en,,
/c/en/abstract/a/existing_only_in_the_mind,abstract,en,existing_only_in_the_mind,a
